Episode 217: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 218: Total Reward = 1041, Score = 156, Epsilon = 0.010
Episode 219: Total Reward = 763, Score = 117, Epsilon = 0.010
Episode 220: Total Reward = 1653, Score = 247, Epsilon = 0.010
Episode 221: Total Reward = 1030, Score = 156, Epsilon = 0.010
Episode 222: Total Reward = 2276, Score = 338, Epsilon = 0.010
Episode 223: Total Reward = 1564, Score = 234, Epsilon = 0.010
Episode 224: Total Reward = 7438, Score = 1092, Epsilon = 0.010
Episode 225: Total Reward = 1386, Score = 208, Epsilon = 0.010
Episode 226: Total Reward = 5215, Score = 767, Epsilon = 0.010
Episode 227: Total Reward = 2899, Score = 429, Epsilon = 0.010
Episode 228: Total Reward = 2009, Score = 299, Epsilon = 0.010
Episode 229: Total Reward = 4147, Score = 611, Epsilon = 0.010
Episode 230: Total Reward = 11621, Score = 1703, Epsilon = 0.010
Episode 231: Total Reward = 2454, Score = 364, Epsilon = 0.010
Episode 232: Total Reward = 2721, Score = 403, Epsilon = 0.010
Episode 233: Total Reward = 1128, Score = 169, Epsilon = 0.010
Episode 234: Total Reward = 239, Score = 39, Epsilon = 0.010
Episode 235: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 236: Total Reward = 500, Score = 78, Epsilon = 0.010
Episode 237: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 238: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 239: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 240: Total Reward = 1392, Score = 208, Epsilon = 0.010
Episode 241: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 242: Total Reward = 1218, Score = 182, Epsilon = 0.010
Episode 243: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 244: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 245: Total Reward = 502, Score = 78, Epsilon = 0.010
Episode 246: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 247: Total Reward = 323, Score = 52, Epsilon = 0.010
Episode 248: Total Reward = 765, Score = 117, Epsilon = 0.010
Episode 249: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 250: Total Reward = 585, Score = 91, Epsilon = 0.010
Episode 251: Total Reward = 496, Score = 78, Epsilon = 0.010
Episode 252: Total Reward = -32, Score = 0, Epsilon = 0.010
Episode 253: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 254: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 255: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 256: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 257: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 258: Total Reward = 496, Score = 78, Epsilon = 0.010
Episode 259: Total Reward = 585, Score = 91, Epsilon = 0.010
Episode 260: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 261: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 262: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 263: Total Reward = 763, Score = 117, Epsilon = 0.010
Episode 264: Total Reward = 1564, Score = 234, Epsilon = 0.010
Episode 265: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 266: Total Reward = 499, Score = 78, Epsilon = 0.010
Episode 267: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 268: Total Reward = 1119, Score = 169, Epsilon = 0.010
Episode 269: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 270: Total Reward = 941, Score = 143, Epsilon = 0.010
Episode 271: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 272: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 273: Total Reward = 1213, Score = 182, Epsilon = 0.010
Episode 274: Total Reward = 2721, Score = 403, Epsilon = 0.010
Episode 275: Total Reward = 941, Score = 143, Epsilon = 0.010
Episode 276: Total Reward = 585, Score = 91, Epsilon = 0.010
Episode 277: Total Reward = 1655, Score = 247, Epsilon = 0.010
Episode 278: Total Reward = 152, Score = 26, Epsilon = 0.010
Episode 279: Total Reward = 2009, Score = 299, Epsilon = 0.010
Episode 280: Total Reward = 763, Score = 117, Epsilon = 0.010
Episode 281: Total Reward = 2098, Score = 312, Epsilon = 0.010
Episode 282: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 283: Total Reward = 3967, Score = 585, Epsilon = 0.010
Episode 284: Total Reward = 9574, Score = 1404, Epsilon = 0.010
Episode 285: Total Reward = 2276, Score = 338, Epsilon = 0.010
Episode 286: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 287: Total Reward = 1653, Score = 247, Epsilon = 0.010
Episode 288: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 289: Total Reward = 502, Score = 78, Epsilon = 0.010
Episode 290: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 291: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 292: Total Reward = 3789, Score = 559, Epsilon = 0.010
Episode 293: Total Reward = 1386, Score = 208, Epsilon = 0.010
Episode 294: Total Reward = 2009, Score = 299, Epsilon = 0.010
Episode 295: Total Reward = 2632, Score = 390, Epsilon = 0.010
Episode 296: Total Reward = 941, Score = 143, Epsilon = 0.010
Episode 297: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 298: Total Reward = 496, Score = 78, Epsilon = 0.010
Episode 299: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 300: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 301: Total Reward = 1928, Score = 286, Epsilon = 0.010
Episode 302: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 303: Total Reward = 950, Score = 143, Epsilon = 0.010
Episode 304: Total Reward = -34, Score = 0, Epsilon = 0.010
Episode 305: Total Reward = 1208, Score = 182, Epsilon = 0.010
Episode 306: Total Reward = 238, Score = 39, Epsilon = 0.010
Episode 307: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 308: Total Reward = 674, Score = 104, Epsilon = 0.010
Episode 309: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 310: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 311: Total Reward = 408, Score = 65, Epsilon = 0.010
Episode 312: Total Reward = 1207, Score = 182, Epsilon = 0.010
Episode 313: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 314: Total Reward = 585, Score = 91, Epsilon = 0.010
Episode 315: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 316: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 317: Total Reward = 1297, Score = 195, Epsilon = 0.010
Episode 318: Total Reward = 400, Score = 65, Epsilon = 0.010
Episode 319: Total Reward = 3611, Score = 533, Epsilon = 0.010
Episode 320: Total Reward = 2009, Score = 299, Epsilon = 0.010
Episode 321: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 322: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 323: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 324: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 325: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 326: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 327: Total Reward = 2098, Score = 312, Epsilon = 0.010
Episode 328: Total Reward = 585, Score = 91, Epsilon = 0.010
Episode 329: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 330: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 331: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 332: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 333: Total Reward = 239, Score = 39, Epsilon = 0.010
Episode 334: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 335: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 336: Total Reward = -59, Score = 0, Epsilon = 0.010
Episode 337: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 338: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 339: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 340: Total Reward = 102, Score = 26, Epsilon = 0.010
Episode 341: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 342: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 343: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 344: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 345: Total Reward = -27, Score = 0, Epsilon = 0.010
Episode 346: Total Reward = -36, Score = 0, Epsilon = 0.010
Episode 347: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 348: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 349: Total Reward = -5, Score = 13, Epsilon = 0.010
Episode 350: Total Reward = 852, Score = 130, Epsilon = 0.010
Episode 351: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 352: Total Reward = 76, Score = 26, Epsilon = 0.010
Episode 353: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 354: Total Reward = -13, Score = 13, Epsilon = 0.010
Episode 355: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 356: Total Reward = 76, Score = 26, Epsilon = 0.010
Episode 357: Total Reward = -37, Score = 0, Epsilon = 0.010
Episode 358: Total Reward = -43, Score = 0, Epsilon = 0.010
